company_id,nps_score,comment
CID1003,9,Payroll runs are smooth now and the live attendance feature saves us hours every week.
CID1007,3,"Too many bugs when generating reports, and support took days to respond. Frustrating."
CID1012,7,Overall okay. Attendance works but the payslip module sometimes loads slowly.
CID1015,2,"Aplikasinya sering error pas tarik laporan, tim support lambat banget responnya."
CID1021,10,Best HR tool we have used. Time-off requests are effortless and the team loves it.
CID1026,5,It's fine. Nothing special but it does the job for payroll.
CID1030,8,"Fitur live attendance sangat membantu, tapi report builder masih membingungkan."
CID1034,1,We are considering switching. The system crashed during payroll and we nearly missed payday.
CID1039,9,Great onboarding and the payslip access for employees reduced our HR tickets a lot.
CID1042,4,Reporting is limited and exporting data is clunky. Hope it improves soon.
CID1048,6,"Cukup membantu untuk absensi, tapi harganya agak mahal untuk fitur yang kami pakai."
CID1051,10,Absolutely love it. Everything from payroll to leave is in one place. Highly recommend.
CID1055,3,Customer service is unresponsive and the mobile app keeps logging me out.
CID1060,7,"Solid product. Attendance and payroll are reliable, reporting could be better."
CID1063,2,Disappointed. Promised integrations never worked and we wasted weeks setting it up.
CID1068,8,Tim kami senang dengan kemudahan request cuti dan slip gaji online.
CID1072,5,"Average experience. Some features are useful, others we never touch."
CID1076,9,The dashboards give us great visibility into attendance trends. Very happy.
CID1079,1,Terrible. Lost attendance data twice this month and no one could explain why.
CID1085,6,"Lumayan, fitur payroll oke tapi laporan analitiknya kurang lengkap."
CID1003,9,Payroll runs are smooth now and the live attendance feature saves us hours every week.
CID1090,7,   
